mean_storage_gib,sampled_mean_recovery_token_layers,exact_mean_recovery_token_layers,g,l
2.96402233,89290.14855957,89824.00766999,7308,42
2.96442691,89262.27532959,89823.76349924,7307,42
3.00420906,89244.13281250,89406.59176041,7210,42
3.00462556,88945.53121948,89399.56769943,7209,42
3.00504205,88942.68893433,89393.94884205,7208,42
3.00545855,88930.14773560,89389.58861341,7207,42
3.02640392,88921.57830811,89176.28261972,7157,42
3.02682644,88812.76037598,89171.06337494,7156,42
3.02724895,88743.07232666,89167.06746593,7155,42
3.04721573,88636.58160400,88969.23495577,7108,42
3.04764431,88633.49554443,88961.15763284,7107,42
3.06570868,88574.05130005,88867.05545494,7065,42
3.06701274,88465.51577759,88803.00186700,7062,42
3.07049025,88435.74148560,88724.92737407,7054,42
3.08138460,88389.60266113,88660.92528807,7029,42
3.08225807,88372.89135742,88669.70708429,7027,42
3.09279940,88321.68948364,88499.34202566,7003,42
3.09324024,88183.11944580,88497.62038938,7002,42
3.09368108,88167.25573730,88496.59867340,7001,42
3.09412192,88110.28323364,88496.09411591,7000,42
3.10562293,88107.80770874,88466.89811110,6974,42
3.11588257,88061.62411499,88274.73267127,6951,42
3.11677664,87943.76376343,88274.60665139,6949,42
3.11722367,87911.79067993,88274.60665139,6948,42
3.11767070,87852.93740845,88274.60665139,6947,42
3.14294958,87841.40951538,87993.99980700,6891,42
3.14340494,87810.78527832,87990.10528789,6890,42
3.15114608,87809.64175415,88040.98860001,6873,42
3.15206456,87697.18325806,87986.64559635,6871,42
3.15711965,87640.47146606,87839.43216957,6860,42
3.17512262,87570.95843506,87696.09023691,6821,42
3.17652025,87473.39846802,87652.47699852,6818,42
3.17698613,87457.82269287,87642.17397983,6817,42
3.17745200,87374.41961670,87633.69954130,6816,42
3.19052774,87338.71096802,87563.13391287,6788,42
3.19852046,87333.29705811,87422.89572210,6771,42
3.19899270,87329.94458008,87414.00299500,6770,42
3.19993719,87269.70401001,87401.17236483,6768,42
3.20135392,87197.96154785,87391.65705034,6765,42
3.21556765,87170.09725952,87373.34185266,6735,42
3.21604205,87159.27398682,87375.88213012,6734,42
3.21652071,87154.89776611,87344.64104236,6733,42
3.21699936,87053.90008545,87316.68218332,6732,42
3.21747802,87002.25048828,87291.82533917,6731,42
3.21795667,86938.41152954,87269.88945711,6730,42
3.22801361,86875.06747437,87132.85167915,6709,42
3.22849441,86814.57342529,87122.60731339,6708,42
3.23714883,86801.63388062,87151.40493060,6690,42
3.23762963,86686.14422607,87154.40272860,6689,42
3.23811458,86618.19308472,87124.07333993,6688,42
3.24005501,86611.26675415,87029.39221061,6684,42
3.25171203,86543.99288940,86882.64496536,6660,42
3.25219930,86451.31744385,86880.88693711,6659,42
3.27279594,86396.85815430,86665.30418570,6617,42
3.27773375,86367.95352173,86684.00082200,6607,42
3.28667269,86302.75958252,86514.41430559,6589,42
3.28717084,86149.11590576,86510.46040354,6588,42
3.28766898,86085.00430298,86507.67020133,6587,42
3.29865874,86079.56259155,86455.17746782,6565,42
3.31630388,86045.51654053,86220.59778540,6530,42
3.32035934,85938.26651001,86234.33468767,6522,42
3.33259940,85930.03552246,86061.68162332,6498,42
3.33362211,85844.30252075,86061.59322441,6496,42
3.33926590,85732.37237549,85995.46541853,6485,42
3.35319690,85719.95687866,85841.78836421,6458,42
3.35526901,85572.91702271,85840.29188171,6454,42
3.35578703,85547.43750000,85840.29188171,6453,42
3.35734472,85516.24166870,85814.08387192,6450,42
3.35786498,85467.11340332,85801.62711137,6449,42
3.37510011,85465.68893433,85619.94252406,6416,42
3.37877611,85318.79785156,85597.77050423,6409,42
3.38088405,85313.73745728,85559.20113780,6405,42
3.39516576,85255.53637695,85405.67350333,6378,42
3.39622875,85181.03439331,85400.01225599,6376,42
3.39676024,85058.59588623,85398.63799636,6375,42
3.39729174,84821.13378906,85397.95007105,6374,42
3.42787923,84770.36022949,85121.00886899,6317,42
3.43983638,84717.60186768,84956.55050545,6295,42
3.44147179,84530.21536255,84955.08681091,6292,42
3.44256206,84527.32797241,84955.08651091,6290,42
3.45737132,84507.30145264,84783.14408586,6263,42
3.45847536,84383.19528198,84760.65347735,6261,42
3.47009089,84212.82333374,84670.91304209,6240,42
